SOINTE LTDA;900441159;sointeltda@hotmail.com
BIENSA SAS;900383746;vicadu@hotmail.com
Denta sas;805008368;denta_ltda@hotmail.com
EMPRESA SOCIAL DEL ESTADO GAMEZA MUNICIPIO SALUDABLE;826001960;esegameza@yahoo.com
ESE HOSPITAL INTEGRADO SAN ROQUE;890203887;HOSPITALSIMACOTA@GMAIL.COM
LIFE NUEVA I.P.S SAS;900827947;nana_gil76@hotmail.com
DIAGNOSIS ORAL E.U.;900261019;DIAGNOSIS.ORAL.EU@HOTMAIL.COM
CENTRO VISUAL OPTICLASS DE LA COSTA IPS S.A.S.;900554916;opticlasscvcartgena@yahoo.com
PALUNA VARGAS ESCOBAR SAS;900882387;luisalberto10_811@hotmail.com
NEUROMENTAL SAS;901011588;neuropsicologo@davidcubillos.com.co
Laboratorio de Citología y Patología CitoPat SAS;900407721;laboratoriocitopat@yahoo.com - citopatsomer@gmail.com
CLINICA SONREIR EU;900178665;sonreireu@hotmail.com
OPTICAS GMO COLOMBIA S.A.S;900108281;yohana.chacon@co.luxottica.com
OIR AUDIOLOGIA E.U;805013255;riverapat59@yahoo.com
COUNTRY SCAN LTDA;800006509;countryscanltda@tacyresonanciadelcountry.com
DUMIAN MÉDICAL S.A.S;805027743;auditoria.pinares@dumianmedical.netsistemas.pinares@dumianmedical.net
DIAGNOSTICOS E.U.;846001425;diagnosticoseu@hotmail.com
RETINA CENTER S.A.S;900932328;dramilenaromer@hotmail.com
EFI CIENCIA OCUPACIONAL LTDA;900380757;eficiencia.ocupacional@gmail.com
CENTRO OFTALMOLOGICO PREVISION PLUS SAS;900418542;centroftalmologicoprevision@hotmail.com
SOCIEDAD DE CIRUGIA OCULAR S A;800231602;INFO@CIRUGIAOCULAR.COM.CO
CENTRO MEDICO DAGUA;800173964;ipscmdagua@hotmail.com
IPS SALUD DEL CARIBE S.A.;806012958;ventas@saluddelcaribe.com
VITALDENT SALUD ORAL S.A.S.;900428368;vitaldent.saludoral@hotmail.com
CORPORACIÓN GÉNESIS SALUD IPS;811041637;luis.gil@genesisips.com.co
ENDODENT S.A.S;901192617;carolinachaverramesa@hotmail.com
PREVILABOR S.A.S;900020613;aistenciasalud@previlabor.com.co
Cristina María Vasco S.A.S.;900459147;crisvasco60@hotmail.com
SOCIEDAD DE UROLOGIA CESAR S. A.S;824005216;UROLOGIACESAR@GMAIL.COM
MEDIFAMILIAR I.P.S S.A.S.;900862859;jaimeacostaps@gmail.com
ORGANIZACIÓN VIHONCO IPS SAS CÚCUTA;900098985;director.cucuta@vihonco.com
CLINICA METROPOLITANA DEL LLANO;834001556;climetrollano@hotmail.com
HOSPITAL SAN JOSE ESE;890700967;gerencia@hospitalsanjoseortega.gov.co
A&A PROTECCION INTEGRAL S.A.S.;900388470;administracion@proteccionintegral.com.co - ordenesyconceptos@proteccionintegral@com.co
IPS COBERTURA INTEGRAL EN SALUD SA COBERSALUD;900211678;cobersalud@une.net.co
OXIVIDAS SAS;900355438;asanint@oxividas.com
CENTRO DE FISIOTERAPIA Y REHABILITACIÓN SAN JUAN S.A.S;901143535;rehabilitamosanjuan@gmail.com
I.P.S SOLOSALUD JD S.A.S;900308897;solosaludmo@hotmail.com
NATURAL BODY CENTER LTDA MEDELLIN;830116823;NATURALBODYCENTERLTDA@HOTMAIL.COM
INMUNOPAT S.A.S.;900164839;inmunopatihq@hotmail.com
CENTRO DE DIAGNOSTICO Y TRATAMIENTO CENDIATRA SOCIEDAD POR ACCIONES SIMPLIFICADAS CENDIATRA SAS;800180176;cendiatra@cendiatra.com
CLINICA DE ESPECIALISTAS GUAJIRA S.A.;900214926;gerenciaclinicaespecialista@gmail.com
Urogin SAS IPS;900543368;juliancano_3@hotmail.com
IPS INDÍGENA MALLAMAS;837000084;leticiacontacto@ipsmallamas
IPS SAEM SALUD S.A.S.;900494090;ipssaemsalud@gmail.com
INVERSIONES DAMA SALUD SAS;830108482;slaplaya@sonria.com.co
INSTITUTO VASCULAR E IMÁGENES DIAGNOSTICAS SAS;900497208;institutovasculareimagenesdiag@gmail.com
COOMEVA ENTIDAD PROMOTORA DE SALUD S A;805000427;milena_garcia@coomeva.com co
Health Safety Management SAS;900573641;hsmbarrancabermeja@gmail.com
CENTRO MEDICO OCUPACIONAL DEL VALLE S.A.S.;900392343;ips.gerencia@gmail.com
CENTRO CARDIOLOGICO LTDA;890503681;centro_cardiologico@hotmail.com
CENTRO NEUROLOGICO DE BOGOTA LIMITADA;860353671;cneurologico@hotmail.com
LABORATORIO MEDICO ECHAVARRIA S.A.S;890906793;gescalidad@labechavarria.com
BLUE LASER MEDICINA INTEGRAL S.A;900073623;clinicabluelaser@yahoo.com
CENTRO DE DIAGNOSTICO Y TRATAMIENTO DE LAS ENFERMEDADES DEL TORAX Y CIA LTDA;900147720;CENESTORAX@HOTMAIL.COM
MEDISIS S.A.S.;830506902;o.rocha@medisis.com.co
MundoDent Clínicas Odontológicas S.A.S;900423879;mundodent.co@hotmail.com
FORJA EMPRESAS SAS;900162688;gerencia@forjaempresas.com
OPTIKUS S.A.;830090640;direccion.administrativa@optikus.com.co, gerencia@optikus.com.co
GOMEZ ESPITIA IPS S.A.S;900696789;tatianaspitiahc@gmail.com
IPS KATIOS RIOSUCIO LTDA;900483570;IPSKATIOS@GMAIL.COM
FERTILITY CARE COLOMBIA S.A.S;901097178;fertilitycare.col@gmail.com
FUNDACION PARA NIÑOS CON NECESIDADES ESPECIALES;900701498;fundanines@gmail.com
MEDISER IPS S.A.S;900089251;mediseripsltda@hotmail.com
UNIDAD DE DIAGNOSTICO ECOGRAFICO FONTIBON I P S SOCIEDAD LIMITADA SU SIGLA ES UDEF I P S LTDA;900181148;unidaddediagnostico2@hotmail.com
CLINICA SAN PABLO SA;890211722;cspablo.gerencia@telmex.net.co
CENTRO ASISTENCIAL DOMICILIARIO S.A.S - SIGLA CENAS S.A.S;900752669;ylmendozag@hotmail.com
OPERADORA DE CLINICAS Y HOSPITALES S.A.OC&H;900285393;unimed_colpatria@hotmail.com
City Ambulancias S A S;900281029;cityambulancias@gmail.com
FUNDACION MAYALERO IPSI;900974450;ipsi.mayalero.21@gmail.com
CMX S.A.S.;900816838;eveleze1@gmail.com
"FUNDACION NEUROVASCULAR Y DE ATENCION INTEGRAL EN SALUD COMP. Y DESAR. HUMAN ""MERRILL SPENCER""";900248872;fcastro13@yahoo.com
FUNDACION NIÑEZ Y DESARROLLO FUNDACION FND COLOMBIA;860034503;informacion@fndcolombia.org
DR JULIO HOOKER DIGEST CENTER S.A.S;900762907;drjuliohookerdigestcenter@outlook.com
CENTROMEDICOSANJUANBAUTISTALTDAIPS;806015120;cmsanjuanbautista@hotmail.com
LABORATORIO CLINICO LA CAROLINA S.A;800111969;CAROLINA@ANDINET.COM
CASA MEDICA DE LA SALUD ITAGUI S.A;890923988;casamedicasalud@gmail.com
CLINICA DE URABA SA;800058856;administracion@clinicadeuraba.com
UNIDAD ODONTOLOGICA DEL SUR SAS;900195466;unidadodontologicadelsur@hotmail.com
MARIA RUBIO CARDOZA E.U;900111155;mariarclab@hotmail.com
EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE RICAURTE;900058218;csricaurteese@yahoo.es
SALUD VITAL Y RIESGOS PROFESIONALES IPS SAS;900077184;gerencia@saludvitalips.com
IPSI PALAIMA;900185729;ipsipalaima@hotmail.com
UNIDAD DE ENDOSCOPIA DIGESTIVA IPS S.A.S;900567300;cabalgastro@hotmail.com
Domisalud del Llano S.A.S;900778518;gerencia@domisaluddelllano.com
CENTRO ODONTOLOGICO DEL VALLE LTDA;805022275;gerencia@clinicanuevasonrisa.com
SALUD VISUAL EMPRESARIAL OCUPACIONAL EU;900135971;saludvisual@saludvisualempresarial.com
CLIVELAM I.P.S. S.A.S.;900318964;SALUD.CLIVELAM@HOTMAIL.COM
LABORATORIO BIOIMAGEN SOCIEDAD LIMITADA;830016595;calidad@bioimagen.com.co
CENTRO DE VIDEO ENDOSCOPIA DIGESTIVA-CEVIED;800237297;administrador@cevied.com
CENTRO DE ACONDICIONAMIENTO Y PREPARACION FISICA WELLNESS CENTER SAS;900394968;gerencia@spinningcentergym.com
CENTRO DERMATOLÓGICO LÁSER PIEL Y BELLEZA S. A. S.;816006442;centrodermatologicolaserpyb@hotmail.com
Laboratorio Clìnico Òscar Collazos y Cìa;800200522;mylabcollazos@hotmail.com
FUNDACION MARIA FORTALEZA;814000463;mariafortaleza@hotmail.com
MEDIALFA S.A.S;900278654;calidadcolombia@medialfa.com
FUNDACION SANTA FE DE BOGOTA;860037950;centro.madrid@fsfb.org.co
ALIRIO GUTIERREZ MILLAN Y CIA SAS UNIDAD DE ATENCIÓN PRIMARIA DARSALUD;830025766;DARSALUD@HOTMAIL.COM
MEDICAL INTERNACIONAL SAS;901015004;administrativo@medicalinternacional.com
BUITRAGO & GRANDAS SAS;900204085;gerencia@oralmedic.com.co
REHABILITAMOS IPS SAS;901143704;celyliliana@hotmail.com
MEDICINA INTENSIVA DEL TOLIMA S.A.;809011517;gerencia@ucihonda.com.co
CENTRO DE REHABILITACIÓN FÍSICA Y ASESORIA SEXUAL CERAS S.A.S.;900357465;delly-navarro2011@hotmail.com
FASALUD IPS S.A.S.;802015154;fasaludips@hotmail.com
J K VACUNAMOS. S.A.S;900319230;jkvacunamos@gmail.com
FUNDACION HOSPITALITO INFANTIL NIÑO DIOS;805001267;hospitalitocali@gmail.com
SYSO CONSULTORES SAS;900694940;syso.ips.centrorehabilitacion@gmail.com
FUNDACION BET SHALOM;819005916;patriciabetshalomips@hotmail.com
IPS MARIA DE LOS ANGELES S.A.S.;900821171;ipsmariadelosangeles1@hotmail.com
CENTRO DE REHABILITACION Y DESARROLLO INTEGRAL IPS S.A.S.;900825715;davidsantiagocujaracosta@gmail.com
FAMILY MEDICAL CARE S.A.S.;900460959;ips.familymedicalcare@gmail.com
FUNDACIÓN SOLIDARIA DEL BAJO BAUDO IPS;818001478;funsobabb@hotmail.com
CARDIORIENTE LTDA CENTRO CARDIOLOGICO DEL ORIENTE;822006883;cardioriente@hotmail.com
ESE CENTRO DE SALUD SAN VICENTE FERRER;820003431;esesaboyasanvicente@msn.com
PATROJA S.A;900142734;oralcenterclinica@yahoo.com
FUNDACION ECOLOGICA AMBIENTAL VIDA NATURAL;802017907;funvinat@hotmail.es
VITALTEST IPS GIRON SAS;900669739;vitaltestmd@gmail.com
HOSPITAL UNIVERSITARIO DE SINCELEJO E.S.E;892280033;hrsincelejo@telecom.com.co
ALIVIAR SERVICIOS DE SALUD S.A.S;805027164;direccion@aliviarss.com
AMBULANCIAS PROYECTAR SAS;900412760;ambulanciasproyectar@hotmail.com
SUMISALUD SINCELEJO IPS LIMITADA;900370808;surticlinicos_ips@hotmail.com
INTEGRADOS EN SALUD IPS LTDA;900220497;integradosensalud@gmail.com
APOYO DIAGNÓSTICO DE COLOMBIA S.A.S.;900786433;caterine.bran@apoyodiagnostico.com.co
LABORATORIO CLINICO DE ESPECIALIDADES BOLIVAR S.A.;804002615;laboratoriobolivar@hotmail.com
ESE CENTRO DE SALUD DE TUBARÁ;802009463;esecentrodesaluddetubara@hotmail.com
REPRESENTACIONES ASESORIAS Y SERVICIOS LIMITADA RAS LTDA;830030009;comercial@rasltdacolombia.com
RTS S.A.S;805011262;juan_gil@baxter.com
Medicina Domiciliaria de Colombia S.A.S.;900348416;medicinadomiciliariadecolombia@hotmail.com
CENFIMAX S.A.S.;900504807;cenfimax@hotmail.com
E.S.E. C.A.M.U. LA APARTADA;812002496;camulaapartada@yahoo.es
CENTRO MÉDICO SINAPSIS IPS S.A.;900239673;gerencia@cmsinapsis.com.co
